year,SL50,SL95,FM,SPR,estimate_type,scenario,scenario_label,sensitivity_component,is_base,growth_id,growth_source,Linf,K,M,MK,MK_origin,maturity_id,maturity_source,maturity_sex,L50_input,L95_input,L50_origin,L95_origin,BinWidth
2004,29.14,33.44,13.35,0.38,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2005,28.98,33.22,12.04,0.38,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2006,28.84,32.91,11.21,0.38,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2007,28.59,32.36,10.2,0.39,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2008,28.52,32.08,9.24,0.41,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2009,28.52,32,8.4,0.42,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2010,28.75,32.29,8.16,0.44,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2011,29.06,32.65,8.4,0.45,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2012,29.33,32.98,8.61,0.46,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2013,29.75,33.54,8.92,0.48,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2014,30.2,34.23,9.57,0.5,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2015,30.07,34.15,8.01,0.51,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
