Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;11/16/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;11;11/16/2015;06:40:00;11/16/2015;1;10:50:00;4;1151;ZARANHA                             ;0
;;;;;;;;;;;;;10/12/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;10/12/2015;06:30:00;10/12/2015;1;10:00:00;3;1151;ZARANHA                             ;0
44757;2017;7;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS MACARELLUS               ;CAVALA PRETA                        ;13;REDE DE CERCO                       ;200;160;32000;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44757;2017;7;DEMERSAIS                           ;PRIACANTHIDAE                       ;HETEROPRIACHANTHUS                  ;HETEROPRIACHANTHUS CRUENTATUS       ;FACOLA                              ;13;REDE DE CERCO                       ;5;160;800;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44757;2017;7;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELENE                              ;SELENE DORSALIS                     ;PAMPO OU CORCOVADO                  ;13;REDE DE CERCO                       ;7;150;1050;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44757;2017;7;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;10;200;2000;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44757;2017;7;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;50;160;8000;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44757;2017;7;DEMERSAIS                           ;POLYNEMIDAE                         ;GALEOIDES                           ;GALEOIDES DECADACTYLUS              ;BARBO                               ;13;REDE DE CERCO                       ;300;180;54000;7/25/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;7/23/2017;02:00:00;7/25/2017;2;19:00:00;65;1718;MAIO                                ;31,09
44404;2017;3;DEMERSAIS                           ;SPARIDAE                            ;VIRIDENTEX                          ;VIRIDENTEX ACROMEGALUS              ;BENTELHA OU BENTEIA                 ;1;REDE DE EMALHAR                     ;6;200;1200;3/31/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3356;DONA SANTANA                        ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;3;3/31/2017;10:00:00;3/31/2017;1;17:00:00;7;1718;MAIO                                ;30
44404;2017;3;DEMERSAIS                           ;CARANGIDAE                          ;SERIOLA                             ;SERIOLA SP                          ;ESMOREGAL OU SERZE                  ;1;REDE DE EMALHAR                     ;11;400;4400;3/31/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3356;DONA SANTANA                        ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;3;3/31/2017;10:00:00;3/31/2017;1;17:00:00;7;1718;MAIO                                ;30
44404;2017;3;DEMERSAIS                           ;LABRIDAE                            ;BODIANUS                            ;Bodianus  sp.                       ;BEDJA                               ;1;REDE DE EMALHAR                     ;12;200;2400;3/31/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3356;DONA SANTANA                        ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;3;3/31/2017;10:00:00;3/31/2017;1;17:00:00;7;1718;MAIO                                ;30
