ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
São Vicente;Rita Maria;12/26/2018;12/27/2018;12;27;2018;CPCI;CPCI;Noroeste;Linha;Tunídeos;Albacora;Thunnus albacares;284
São Vicente;Rita Maria;12/26/2018;12/27/2018;12;27;2018;CPCI;CPCI;Noroeste;Linha;Tunídeos;Lobo ou Dourado;Coryphaena hippurus;70
São Vicente;Rita Maria;12/26/2018;12/27/2018;12;27;2018;CPCI;CPCI;Noroeste;Linha;Tunídeos;Serra ou Djeu;Acanthocybium solandri;491
São Vicente;Belfish II;12/28/2018;12/29/2018;12;29;2018;CPCI;CPCI;Tarrafal de Monte Trigo;Rede de cerco;Tunídeos;Albacora;Thunnus albacares;97
São Vicente;Belfish II;12/28/2018;12/29/2018;12;29;2018;CPCI;CPCI;Tarrafal de Monte Trigo;Rede de cerco;Tunídeos;Serra ou Djeu;Acanthocybium solandri;587
São Vicente;Barbara;11/6/2018;11/7/2018;11;7;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;arenque;Sardinella maderensis;904
São Vicente;Maranata;12/6/2018;12/8/2018;12;8;2018;CPCI;CPCI;Tarrafal de Monte Trigo;Rede de cerco;Pequenos pelágicos;Cavala Preta;Decapterus macarellus;593
Santiago;São Pedro;1/10/2018;1/15/2018;1;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;319
Santiago;São Pedro;1/10/2018;1/15/2018;1;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Chicharrão;;450
Santiago;Porto cais;1/10/2018;1/15/2018;1;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Choba;;396
Santiago;Santo António;1/16/2018;1/16/2018;1;16;2018;Pedra Badejo;Cais de pesca da Praia;Pedra Barbo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;120
Santiago;Santo António;1/16/2018;1/16/2018;1;16;2018;Pedra Badejo;Cais de pesca da Praia;Pedra Barbo;Rede de cerco;Demersais;Barbeiro;Acanthurus monroviae;20
Santiago;Nho Santiago;1/11/2018;1/16/2018;1;16;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;320
Santiago;Vai com Deus;1/12/2018;1/16/2018;1;16;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;350
Santiago;Vai com Deus;1/12/2018;1/16/2018;1;16;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Esmoregal ou Serze;Seriola sp;10
Santiago;Duda Marinho;1/22/2018;1/22/2018;1;22;2018;Pedra Badejo;Cais de pesca da Praia;Coroa;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;60
Santiago;Duda Marinho;1/22/2018;1/22/2018;1;22;2018;Pedra Badejo;Cais de pesca da Praia;Coroa;Rede de cerco;Pequenos pelágicos;Dobrada;Spicara melanurus;100
Santiago;Santo António;1/23/2018;1/23/2018;1;23;2018;Pedra Badejo;Cais de pesca da Praia;Achada Ponta;Rede de cerco;Pequenos pelágicos;Sicate/ Ponteiro/ Ferrão;Hemiramphus brasiliensis;800
Santiago;Peixe Rei;1/24/2018;1/26/2018;1;26;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;168
