"tempo","cenario","indice","cv","cv_origem","fonte","engenhos_agregados"
"2015","C5 padronizada COM tatica","0.537998123650779","0.456089240946876","modelo","IMar viagem (padronizado)","FALSE"
"2016","C5 padronizada COM tatica","2.10878287508547","0.243964718169836","modelo","IMar viagem (padronizado)","FALSE"
"2017","C5 padronizada COM tatica","2.22605939504461","0.159339496290088","modelo","IMar viagem (padronizado)","FALSE"
"2019","C5 padronizada COM tatica","1.81641878294639","0.166942470717027","modelo","IMar viagem (padronizado)","FALSE"
"2020","C5 padronizada COM tatica","0.912011490862897","0.176308487205925","modelo","IMar viagem (padronizado)","FALSE"
"2021","C5 padronizada COM tatica","0.373854391553696","0.212266562209656","modelo","IMar viagem (padronizado)","FALSE"
"2022","C5 padronizada COM tatica","0.309113056297996","0.222901512600094","modelo","IMar viagem (padronizado)","FALSE"
"2023","C5 padronizada COM tatica","0.518071958047481","0.193649586432399","modelo","IMar viagem (padronizado)","FALSE"
"2024","C5 padronizada COM tatica","0.617218091879895","0.19714378353125","modelo","IMar viagem (padronizado)","FALSE"
"2025","C5 padronizada COM tatica","0.580471834630786","0.275487610893539","modelo","IMar viagem (padronizado)","FALSE"
"2015","C6 nominal esforco dirigido","1.61358559434444","0.391784500049876","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2016","C6 nominal esforco dirigido","1.81799864480854","0.295355052065225","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2017","C6 nominal esforco dirigido","1.84521342407624","0.2","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2019","C6 nominal esforco dirigido","1.54918865246899","0.2","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2020","C6 nominal esforco dirigido","1.18436768305518","0.2","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2021","C6 nominal esforco dirigido","0.216173688735538","0.303637459758497","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2022","C6 nominal esforco dirigido","0.414415276604563","0.24766941118219","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2023","C6 nominal esforco dirigido","0.345338956122933","0.237811913318044","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2024","C6 nominal esforco dirigido","0.668797209563936","0.25532506709909","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
"2025","C6 nominal esforco dirigido","0.344920870219636","0.363512152477396","empirico (subconjunto dirigido)","IMar viagem (so tatica-cavala)","FALSE"
