"Amostragem","Ano","Mes","Grupo","Familia","Genero","Nome_cientifico","Especie","Engenho","Nome_engenho","Quantidade","Preco","Valor","Data_amostragem","Tipo_pesca","Regiao","Ilha","Nome_ilha","Concelho","Nome_concelho","Localidade","Nome_localidade","Tipo_embarcacao","Embarcacao","Nome_embarcacao","Porto_armamento","Nome_porto_armamento","Porto_desembarque","Nome_porto_desembarque","Numero_pescadores","Data_partida","Hora_partida","Data_chegada","Num_dias","Hora_chegada","Num_horas","Banco_pesca","Nome_banco_pesca","Profundidade_pesca_engenho1","fonte","nivel","engenhos_agregados","usar_na_serie"
"77285","2015","11","PEQUENOS PELAGICOS","CLUPEIDAE","SARDINELLA","SARDINELLA MADERENSIS","ARENQUE OU SARDINHA","13","REDE DE CERCO","50","0","0","11/12/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","13","11/11/2015","15:00:00","11/12/2015","1","06:20:00","15","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77285","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","SELAR","SELAR CRUMENOPHTHALMUS","OLHO LARGO OU CHICHARRO","13","REDE DE CERCO","150","80","12000","11/12/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","13","11/11/2015","15:00:00","11/12/2015","1","06:20:00","15","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77283","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","CARANX","CARANX CRYSOS","BONITO","13","REDE DE CERCO","2.5","250","625","11/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","11/4/2015","06:00:00","11/4/2015","1","14:20:00","8","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77283","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS PUNCTATUS","CAVALA BRANCA","13","REDE DE CERCO","250","120","30000","11/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","11/4/2015","06:00:00","11/4/2015","1","14:20:00","8","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77281","2015","10","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS PUNCTATUS","CAVALA BRANCA","13","REDE DE CERCO","250","120","30000","10/28/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","13","10/28/2015","06:00:00","10/28/2015","1","11:30:00","5","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77279","2015","10","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS PUNCTATUS","CAVALA BRANCA","13","REDE DE CERCO","520","100","52000","10/24/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","11","10/24/2015","06:30:00","10/24/2015","1","09:10:00","2","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77269","2015","10","TUNIDEOS","SCOMBRIDAE","KATSUWONUS","KATSUWONUS PELAMIS","GAIADO OU ATUNZINHO","13","REDE DE CERCO","800","120","96000","10/8/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","13","10/8/2015","06:00:00","10/8/2015","1","09:30:00","3","1844","LAGOA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77267","2015","10","TUNIDEOS","SCOMBRIDAE","KATSUWONUS","KATSUWONUS PELAMIS","GAIADO OU ATUNZINHO","13","REDE DE CERCO","1200","120","144000","10/5/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3346","DEIVIKA","268","PONTA DO SOL","268","PONTA DO SOL","13","10/5/2015","06:00:00","10/5/2015","1","08:50:00","2","1844","LAGOA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77266","2015","10","TUNIDEOS","SCOMBRIDAE","KATSUWONUS","KATSUWONUS PELAMIS","GAIADO OU ATUNZINHO","13","REDE DE CERCO","400","120","48000","10/5/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","13","10/5/2015","06:00:00","10/5/2015","1","09:00:00","3","1845","FUNDIADOR","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75397","2015","9","DEMERSAIS","CARANGIDAE","CARANX","CARANX SP","CHEREU, ENFORCADO, XEREU","13","REDE DE CERCO","4","300","1200","9/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","12","9/4/2015","06:00:00","9/4/2015","1","10:50:00","4","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75397","2015","9","PEQUENOS PELAGICOS","CARANGIDAE","TRACHINOTUS","TRACHINOTUS OVATUS","PELOMBETA","13","REDE DE CERCO","120","90","10800","9/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","12","9/4/2015","06:00:00","9/4/2015","1","10:50:00","4","1148","RIBEIRA HINVERNO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75395","2015","9","PEQUENOS PELAGICOS","CARANGIDAE","TRACHINOTUS","TRACHINOTUS OVATUS","PELOMBETA","13","REDE DE CERCO","15","100","1500","9/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","13","9/4/2015","06:20:00","9/4/2015","1","11:00:00","4","1844","LAGOA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75394","2015","8","PEQUENOS PELAGICOS","CLUPEIDAE","SARDINELLA","SARDINELLA MADERENSIS","ARENQUE OU SARDINHA","13","REDE DE CERCO","50","0","0","8/28/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","11","8/28/2015","06:20:00","8/28/2015","1","10:30:00","4","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75394","2015","8","PEQUENOS PELAGICOS","CARANGIDAE","TRACHINOTUS","TRACHINOTUS OVATUS","PELOMBETA","13","REDE DE CERCO","250","80","20000","8/28/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","11","8/28/2015","06:20:00","8/28/2015","1","10:30:00","4","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75393","2015","8","TUNIDEOS","SCOMBRIDAE","AUXIS","Auxis sp","CACHORRINHA, JUDEU OU MELVA","13","REDE DE CERCO","450","30","13500","8/20/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","12","8/20/2015","08:00:00","8/20/2015","1","10:00:00","2","1845","FUNDIADOR","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75392","2015","8","TUNIDEOS","SCOMBRIDAE","AUXIS","Auxis sp","CACHORRINHA, JUDEU OU MELVA","13","REDE DE CERCO","1000","30","30000","8/20/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3346","DEIVIKA","268","PONTA DO SOL","268","PONTA DO SOL","13","8/20/2015","09:00:00","8/20/2015","1","10:30:00","1","1845","FUNDIADOR","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75391","2015","8","TUNIDEOS","SCOMBRIDAE","AUXIS","Auxis sp","CACHORRINHA, JUDEU OU MELVA","13","REDE DE CERCO","800","30","24000","8/17/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3346","DEIVIKA","268","PONTA DO SOL","268","PONTA DO SOL","12","8/17/2015","12:00:00","8/17/2015","1","13:30:00","1","1780","BOCA CORVO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"75390","2015","8","TUNIDEOS","SCOMBRIDAE","AUXIS","Auxis sp","CACHORRINHA, JUDEU OU MELVA","13","REDE DE CERCO","500","30","15000","8/8/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","12","8/8/2015","09:30:00","8/8/2015","1","11:30:00","2","1788","CONE","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
