DATA,ANO,MES,ZONA,L(cm),W(g),SEXO,EM,W_GON,W_FIG,OBS,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,293,F,5,3.55,2.66,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,303,F,5,4.06,3.55,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,267,M,5,4.4,3.16,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,276,F,5,3.31,4.12,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,266,M,4,3.58,1.65,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,340,F,5,6.88,3.29,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,228,F,5,4.11,3.36,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,387,F,3,2.41,3.67,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,292,M,4,4.82,3.04,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,280,M,5,6.49,2.31,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,294,F,5,2.49,3.6,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,265,M,5,4.86,2.72,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,265,M,4,5.89,2.52,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,281,F,4,2.52,2.35,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,294,M,4,3.8,2.72,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,284,M,3,3.78,2.13,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,262,M,4,6.22,2.34,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,294,F,5,5.18,3.48,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,294,F,5,4.37,3.36,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,32,412,F,5,5.19,4.75,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,319,F,4,6.53,3.64,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,291,M,3,4.46,3.54,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,310,F,4,4.5,4.38,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,315,F,5,2.95,3.81,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,289,M,4,5.06,2.39,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,281,M,4,4.34,2.58,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,288,F,6,2.99,3.43,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,303,M,5,2.83,2.27,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,273,F,5,3.54,3.28,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,288,F,2,2.01,3.14,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,250,M,5,6.19,2.18,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,286,F,3,2.74,4.61,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,358,M,4,5.69,2.71,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,287,F,3,2.6,3.1,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,247,,,,,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,283,M,4,15.49,2.56,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,30,313,M,4,9.86,2.15,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,272,M,4,23,2.61,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,274,M,4,20.5,1.98,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,230,F,5,10.54,2.76,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,233,F,5,10.44,2.53,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,31,348,F,6,3.22,4.16,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,224,M,3,5.04,2.76,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,237,F,6,10.17,2.49,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,284,M,4,14.53,2.46,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,292,M,4,15.33,4.34,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,303,M,4,15.45,3.77,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,249,M,4,12.41,2.78,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,273,M,4,13.64,3.01,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,254,F,5,10.36,4.94,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,225,M,4,4.89,2.86,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,297,F,6,15.98,4.1,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,29,322,M,4,11.35,3.22,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,29,295,M,5,12.8,3.26,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,228,F,5,6.11,3.06,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,210,M,4,6.85,1.64,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,279,M,4,14.09,2.92,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,199,F,4,2.24,2.2,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,252,F,5,8.28,4.21,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,285,M,4,16.94,2.86,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,248,F,5,10.52,3.95,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,202,M,4,4.59,2.47,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,255,F,5,8.24,3.6,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,30,315,M,7,6.96,4.17,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,295,F,6,14.66,5.01,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,241,M,5,8.9,2.97,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,223,M,4,6.96,2.67,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,278,M,4,13.95,3.03,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,240,F,5,7.02,3.83,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,254,F,5,11.14,4.16,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,240,M,5,9.22,2.8,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,212,M,4,17.35,1.81,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,29,343,F,5,14.21,4,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,30,298,F,5,6.69,2.73,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,239,M,3,3.46,3.09,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,257,F,5,10.8,3.57,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,238,F,5,2.53,3.08,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,218,M,4,7.89,2.67,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,286,M,5,13.48,3.03,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,223,M,4,8.22,2.25,,,,,,,,,,,,,
