"stock_id","stock_base","category","region","source","name","type_data","scenario","r_method","bk_method","yr","nyr","start.yr","int.yr","end.yr","ucl.B.Bmsy","lcl.B.Bmsy","B.Bmsy","ucl.F.Fmsy","lcl.F.Fmsy","F.Fmsy"
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1996,27,1989,2001,2015,1.66529195202118,1.1352514658231,1.39318268389797,1.17759532257625,0.562553214883561,0.821029974196208
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1997,27,1989,2001,2015,1.5819476310381,1.07484150109569,1.31965080635251,1.4831637658183,0.731254085920032,1.05058757033781
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1998,27,1989,2001,2015,1.46253162526886,0.97523917620476,1.20730816239498,1.72347192075617,0.870154152367558,1.23032156322519
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1999,27,1989,2001,2015,1.33457861223233,0.866294105368288,1.08999991481522,1.75369781527973,0.87664422016095,1.24655382452252
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2000,27,1989,2001,2015,1.23385575047473,0.789753117026522,1.00636729513963,1.56320970767426,0.781697980843983,1.12168694053816
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2001,27,1989,2001,2015,1.17442801630708,0.760363197508127,0.966371816814913,1.43846628852806,0.703289228221935,1.01766081850104
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2002,27,1989,2001,2015,1.18668573945031,0.758204652621744,0.966987508766959,1.48281290599893,0.712503603714959,1.03789128697899
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2003,27,1989,2001,2015,1.19870368031025,0.755481096696794,0.962817768200272,1.47842010512396,0.72726091839286,1.05636717125656
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2004,27,1989,2001,2015,1.19924848995092,0.753537747392723,0.955952200261644,1.54361079887651,0.758130115225734,1.10215366534895
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2005,27,1989,2001,2015,1.17698960144954,0.747555923010018,0.941122133552792,1.73532735141913,0.868134672620175,1.24668784137097
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2006,27,1989,2001,2015,1.12413565477006,0.711380223056298,0.903265020786491,2.01280799993142,1.045482212642,1.46745334129438
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2007,27,1989,2001,2015,1.04344741849418,0.658798329910539,0.832142515522114,2.21273018296227,1.15965245267183,1.63138625244524
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2008,27,1989,2001,2015,0.956058926423847,0.600735827172167,0.753137021936413,2.22670232253174,1.1665241705328,1.64449101733922
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2009,27,1989,2001,2015,0.885711652219272,0.549535708906808,0.691442092581829,2.15853985981868,1.12549244651647,1.57623797784437
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2010,27,1989,2001,2015,0.837276067557757,0.518875101748763,0.649242311205488,2.23596786908289,1.1291363156109,1.63050213025919
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",2011,27,1989,2001,2015,0.80161735700488,0.488099190838732,0.608169964361369,2.60301057456293,1.30362885966194,1.87201348938415
