"cenario_id","hipotese","m_hipotese","m_fonte","bk_lo","bk_hi","variavel","media","mediana","p2.5","p97.5","n_total","n_aceitos","pct_aceitacao"
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"Fmsy",0.350375354604209,0.335028564822395,0.181156949382249,0.605171928193284,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"FmsyM",0.81351484090345,0.782497957944949,0.438083635891636,1.3776281323031,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"K",34692.458152449,26907.3033619778,14011.3595800196,104955.521776428,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"M",0.430931422275424,0.429457154127417,0.354471662610598,0.517644214457357,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"MSY",2900.1228679895,2215.02404753583,1622.51712857828,8332.89795166411,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"OFLT1",5559.06241190416,3671.34713729238,852.89765481266,22197.381011463,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"Umsy",0.239803167578553,0.23399243171865,0.137064169416528,0.371874650240591,10000,6649,66.5
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"Bmsy",10965.6246309717,8573.02952489349,5054.37410597135,32718.2033185264,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"BmsyK",0.374895799604292,0.375873756753989,0.210520567716098,0.533771182886192,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"Brefyr",20626.8266921868,12468.0817682599,3106.93895767993,89034.2592261406,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"BtK",0.58220121265361,0.585756660206243,0.164265864202753,0.93619714465458,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"Fmsy",0.48314033023145,0.463069745813552,0.257018254845705,0.8291608679738,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"FmsyM",0.804451521279196,0.771283883400897,0.443452295386882,1.35325705584936,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"K",30964.9343382354,22988.2327590524,13033.7140876374,100211.909802331,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"M",0.600988363443036,0.599240254088895,0.490333573030264,0.722067741782231,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"MSY",3045.82801172763,2264.98252232759,1767.27679580514,8735.63746573597,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"OFLT1",6224.65325547439,3978.79709460367,1006.94369802495,25097.8831486617,10000,6109,61.1
"Uninformative_x_M_segunda_confiavel","Uninformative","M_segunda_confiavel","Santos (2018)",0,1,"Umsy",0.290109244391025,0.284820487226837,0.174901012277871,0.436171773981628,10000,6109,61.1
